Constituency,Const. No.,Leading Candidate,State,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Amroha,9,KANWAR SINGH TANWAR,Uttar Pradesh,Bharatiya Janata Party,KUNWAR DANISH ALI,Indian National Congress,28670,Result Declared
Anakapalle,5,C.M.RAMESH,Andhra Pradesh,Bharatiya Janata Party,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,296530,Result Declared
Anand,16,MITESH PATEL (BAKABHAI),Gujarat,Bharatiya Janata Party,AMIT CHAVDA,Indian National Congress,89939,Result Declared
Anandpur Sahib,6,MALVINDER SINGH KANG,Punjab,Aam Aadmi Party,VIJAY INDER SINGLA,Indian National Congress,10846,Result Declared
Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,Telugu Desam,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,188555,Result Declared
ANANTNAG-RAJOURI,3,MIAN ALTAF AHMAD,Jammu & Kashmir,Jammu & Kashmir National Conference,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,281794,Result Declared
Andaman & Nicobar Islands,1,BISHNU PADA RAY,Andaman & NicobarIslands,Bharatiya Janata Party,KULDEEP RAI SHARMA,Indian National Congress,24396,Result Declared
Aonla,24,NEERAJ MAURYA,Uttar Pradesh,Samajwadi Party,DHARMENDRA KASHYAP,Bharatiya Janata Party,15969,Result Declared
ARAKKONAM,7,S JAGATHRATCHAKAN,Tamil Nadu,Dravida Munnetra Kazhagam,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559,Result Declared
Araku (ST),1,GUMMA THANUJA RANI,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,KOTHAPALLI GEETHA,Bharatiya Janata Party,50580,Result Declared
Arambagh,29,BAG MITALI,West Bengal,All India Trinamool Congress,ARUP KANTI DIGAR,Bharatiya Janata Party,6399,Result Declared
ARANI,12,THARANIVENTHAN M S,Tamil Nadu,Dravida Munnetra Kazhagam,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766,Result Declared
Araria,9,PRADEEP KUMAR SINGH,Bihar,Bharatiya Janata Party,SHAHNAWAZ,Rashtriya Janata Dal,20094,Result Declared
Arrah,32,SUDAMA PRASAD,Bihar,Communist Party of India (Marxist-Leninist) (Liberation),R. K. SINGH,Bharatiya Janata Party,59808,Result Declared
Arunachal East,2,TAPIR GAO,Arunachal Pradesh,Bharatiya Janata Party,BOSIRAM SIRAM,Indian National Congress,30421,Result Declared
Arunachal West,1,KIREN RIJIJU,Arunachal Pradesh,Bharatiya Janata Party,NABAM TUKI,Indian National Congress,100738,Result Declared
Asansol,40,SHATRUGHAN PRASAD SINHA,West Bengal,All India Trinamool Congress,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,59564,Result Declared
Aska,19,ANITA SUBHADARSHINI,Odisha,Bharatiya Janata Party,RANJITA SAHU,Biju Janata Dal,99974,Result Declared
Attingal,19,ADV ADOOR PRAKASH,Kerala,Indian National Congress,V JOY,Communist Party of India (Marxist),684,Result Declared
Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,Maharashtra,Shiv Sena,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,134650,Result Declared
Aurangabad,37,ABHAY KUMAR SINHA,Bihar,Rashtriya Janata Dal,SUSHIL KUMAR SINGH,Bharatiya Janata Party,79111,Result Declared
Azamgarh,69,DHARMENDRA YADAV,Uttar Pradesh,Samajwadi Party,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,161035,Result Declared
Badaun,23,ADITYA YADAV,Uttar Pradesh,Samajwadi Party,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,34991,Result Declared
Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Karnataka,Bharatiya Janata Party,SAMYUKTA SHIVANAND PATIL,Indian National Congress,68399,Result Declared
Baghpat,11,DR RAJKUMAR SANGWAN,Uttar Pradesh,Rashtriya Lok Dal,AMARPAL,Samajwadi Party,159459,Result Declared
Baharaich,56,ANAND KUMAR,Uttar Pradesh,Bharatiya Janata Party,RAMESH CHANDRA,Samajwadi Party,64227,Result Declared
Baharampur,10,PATHAN YUSUF,West Bengal,All India Trinamool Congress,ADHIR RANJAN CHOWDHURY,Indian National Congress,85022,Result Declared
BALAGHAT,15,BHARTI PARDHI,Madhya Pradesh,Bharatiya Janata Party,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,174512,Result Declared
Balasore,6,PRATAP CHANDRA SARANGI,Odisha,Bharatiya Janata Party,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,147156,Result Declared
Ballia,72,SANATAN PANDEY,Uttar Pradesh,Samajwadi Party,NEERAJ SHEKHAR,Bharatiya Janata Party,43384,Result Declared
Balurghat,6,SUKANTA MAJUMDAR,West Bengal,Bharatiya Janata Party,BIPLAB MITRA,All India Trinamool Congress,10386,Result Declared
Banaskantha,2,GENIBEN NAGAJI THAKOR,Gujarat,Indian National Congress,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,30406,Result Declared
Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,Uttar Pradesh,Samajwadi Party,R. K. SINGH PATEL,Bharatiya Janata Party,71210,Result Declared
Bangalore central,25,P C MOHAN,Karnataka,Bharatiya Janata Party,MANSOOR ALI KHAN,Indian National Congress,32707,Result Declared
Bangalore North,24,SHOBHA KARANDLAJE,Karnataka,Bharatiya Janata Party,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,259476,Result Declared
Bangalore Rural,23,DR C N MANJUNATH,Karnataka,Bharatiya Janata Party,D K SURESH,Indian National Congress,269647,Result Declared
Bangalore South,26,TEJASVI SURYA,Karnataka,Bharatiya Janata Party,SOWMYA REDDY,Indian National Congress,277083,Result Declared
Bangaon,14,SHANTANU THAKUR,West Bengal,Bharatiya Janata Party,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,73693,Result Declared
Banka,27,GIRIDHARI YADAV,Bihar,Janata Dal (United),JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,103844,Result Declared
Bankura,36,ARUP CHAKRABORTY,West Bengal,All India Trinamool Congress,DR. SUBHAS SARKAR,Bharatiya Janata Party,32778,Result Declared
Bansgaon,67,KAMLESH PASWAN,Uttar Pradesh,Bharatiya Janata Party,SADAL PRASAD,Indian National Congress,3150,Result Declared
BANSWARA,20,RAJ KUMAR ROAT,Rajasthan,Bharat Adivasi Party,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,247054,Result Declared
Bapatla (SC),15,KRISHNA PRASAD TENNETI,Andhra Pradesh,Telugu Desam,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,208031,Result Declared
Barabanki,53,TANUJ PUNIA,Uttar Pradesh,Indian National Congress,RAJRANI RAWAT,Bharatiya Janata Party,215704,Result Declared
Baramati,35,SUPRIYA SULE,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,158333,Result Declared
BARAMULLA,1,ABDUL RASHID SHEIKH,Jammu & Kashmir,Independent,OMAR ABDULLAH,Jammu & Kashmir National Conference,204142,Result Declared
Barasat,17,KAKOLI GHOSH DASTIDAR,West Bengal,All India Trinamool Congress,SWAPAN MAJUMDER,Bharatiya Janata Party,114189,Result Declared
Bardhaman Purba,38,DR. SHARMILA SARKAR,West Bengal,All India Trinamool Congress,ASIM KUMAR SARKAR,Bharatiya Janata Party,160572,Result Declared
Bardhaman-Durgapur,39,AZAD KIRTI JHA,West Bengal,All India Trinamool Congress,DILIP GHOSH,Bharatiya Janata Party,137981,Result Declared
Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Gujarat,Bharatiya Janata Party,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,230253,Result Declared
Bareilly,25,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,Bharatiya Janata Party,PRAVEEN SINGH ARON,Samajwadi Party,34804,Result Declared
Bargarh,1,PRADEEP PUROHIT,Odisha,Bharatiya Janata Party,PARINITA MISHRA,Biju Janata Dal,251667,Result Declared
BARMER,17,UMMEDA RAM BENIWAL,Rajasthan,Indian National Congress,RAVINDRA SINGH BHATI,Independent,118176,Result Declared
Barpeta,3,PHANI BHUSAN CHOUDHURY,Assam,Asom Gana Parishad,DEEP BAYAN,Indian National Congress,222351,Result Declared
Barrackpur,15,PARTHA BHOWMICK,West Bengal,All India Trinamool Congress,ARJUN SINGH,Bharatiya Janata Party,64438,Result Declared
Basirhat,18,SK NURUL ISLAM,West Bengal,All India Trinamool Congress,REKHA PATRA,Bharatiya Janata Party,333547,Result Declared
BASTAR,10,MAHESH KASHYAP,Chhattisgarh,Bharatiya Janata Party,KAWASI LAKHMA,Indian National Congress,55245,Result Declared
Basti,61,RAM PRASAD CHAUDHARY,Uttar Pradesh,Samajwadi Party,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,100994,Result Declared
Bathinda,11,HARSIMRAT KAUR BADAL,Punjab,Shiromani Akali Dal,GURMEET SINGH KHUDIAN,Aam Aadmi Party,49656,Result Declared
Beed,39,BAJRANG MANOHAR SONWANE,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,6553,Result Declared
Begusarai,24,GIRIRAJ SINGH,Bihar,Bharatiya Janata Party,ABDHESH KUMAR ROY,Communist Party of India,81480,Result Declared
Belgaum,2,JAGADISH SHETTAR,Karnataka,Bharatiya Janata Party,MRINAL R HEBBALKAR,Indian National Congress,178437,Result Declared
Bellary,9,E. TUKARAM,Karnataka,Indian National Congress,B. SREERAMULU,Bharatiya Janata Party,98992,Result Declared
Berhampur,20,DR. PRADEEP KUMAR PANIGRAHY,Odisha,Bharatiya Janata Party,BHRUGU BAXIPATRA,Biju Janata Dal,165476,Result Declared
BETUL,29,DURGADAS (D. D.) UIKEY,Maharashtra,Bharatiya Janata Party,RAMU TEKAM,Indian National Congress,379761,Result Declared
Bhadohi,78,DR. VINOD KUMAR BIND,Uttar Pradesh,Bharatiya Janata Party,LALITESHPATI TRIPATHI,All India Trinamool Congress,44072,Result Declared
Bhadrak,7,AVIMANYU SETHI,Odisha,Bharatiya Janata Party,MANJULATA MANDAL,Biju Janata Dal,91544,Result Declared
Bhagalpur,26,AJAY KUMAR MANDAL,Bihar,Janata Dal (United),AJEET SHARMA,Indian National Congress,104868,Result Declared
Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,Maharashtra,Indian National Congress,SUNIL BABURAO MENDHE,Bharatiya Janata Party,37380,Result Declared
BHARATPUR,9,SANJNA JATAV,Rajasthan,Indian National Congress,RAMSWAROOP KOLI,Bharatiya Janata Party,51983,Result Declared
Bharuch,22,MANSUKHBHAI DHANJIBHAI VASAVA,Gujarat,Bharatiya Janata Party,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,85696,Result Declared
Bhavnagar,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Gujarat,Bharatiya Janata Party,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,455289,Result Declared
BHILWARA,23,DAMODAR AGARWAL,Rajasthan,Bharatiya Janata Party,C P JOSHI,Indian National Congress,354606,Result Declared
BHIND,2,SANDHYA RAY,Madhya Pradesh,Bharatiya Janata Party,PHOOL SINGH BARAIYA,Indian National Congress,64840,Result Declared
Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,66121,Result Declared
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,Haryana,Bharatiya Janata Party,RAO DAN SINGH,Indian National Congress,41510,Result Declared
Bhongir,14,CHAMALA KIRAN KUMAR REDDY,Telangana,Indian National Congress,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,222170,Result Declared
BHOPAL,19,ALOK SHARMA,Madhya Pradesh,Bharatiya Janata Party,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,501499,Result Declared
Bhubaneswar,18,APARAJITA SARANGI,Odisha,Bharatiya Janata Party,MANMATH KUMAR ROUTRAY,Biju Janata Dal,35152,Result Declared
Bidar,7,SAGAR ESHWAR KHANDRE,Karnataka,Indian National Congress,BHAGWANTH KHUBA,Bharatiya Janata Party,128875,Result Declared
Bijapur,4,RAMESH JIGAJINAGI,Karnataka,Bharatiya Janata Party,RAJU ALAGUR.,Indian National Congress,77229,Result Declared
Bijnor,4,CHANDAN CHAUHAN,Uttar Pradesh,Rashtriya Lok Dal,DEEPAK,Samajwadi Party,37508,Result Declared
BIKANER,2,ARJUN RAM MEGHWAL,Rajasthan,Bharatiya Janata Party,GOVINDRAM MEGHWAL,Indian National Congress,55711,Result Declared
BILASPUR,5,TOKHAN SAHU,Chhattisgarh,Bharatiya Janata Party,DEVENDRA YADAV,Indian National Congress,164558,Result Declared
Birbhum,42,SATABDI ROY,West Bengal,All India Trinamool Congress,DEBTANU BHATTACHARYA,Bharatiya Janata Party,197650,Result Declared
Bishnupur,37,KHAN SAUMITRA,West Bengal,Bharatiya Janata Party,SUJATA MONDAL,All India Trinamool Congress,5567,Result Declared
Bolangir,10,SANGEETA KUMARI SINGH DEO,Odisha,Bharatiya Janata Party,SURENDRA SINGH BHOI,Biju Janata Dal,132664,Result Declared
Bolpur,41,ASIT KUMAR MAL,West Bengal,All India Trinamool Congress,PIYA SAHA,Bharatiya Janata Party,327253,Result Declared
Bulandshahr,14,DR BHOLA SINGH,Uttar Pradesh,Bharatiya Janata Party,SHIVRAM,Indian National Congress,275134,Result Declared
Buldhana,5,JADHAV PRATAPRAO GANPATRAO,Maharashtra,Shiv Sena,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),29479,Result Declared
Buxar,33,SUDHAKAR SINGH,Bihar,Rashtriya Janata Dal,MITHILESH TIWARI,Bharatiya Janata Party,30091,Result Declared
Chalakudy,11,BENNY BEHANAN,Kerala,Indian National Congress,PROF C RAVEENDRANATH,Communist Party of India (Marxist),63754,Result Declared
Chamarajanagar,22,SUNIL BOSE,Karnataka,Indian National Congress,BALARAJ.S,Bharatiya Janata Party,188706,Result Declared
Chandauli,76,BIRENDRA SINGH,Uttar Pradesh,Samajwadi Party,DR. MAHENDRA NATH PANDEY,Bharatiya Janata Party,21565,Result Declared
Chandigarh,1,MANISH TEWARI,Chandigarh,Indian National Congress,SANJAY TANDON,Bharatiya Janata Party,2504,Result Declared
Chandni Chowk,1,PRAVEEN KHANDELWAL,Delhi,Bharatiya Janata Party,JAI PRAKASH AGARWAL,Indian National Congress,89325,Result Declared
Chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Maharashtra,Indian National Congress,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,260406,Result Declared
Chatra,4,KALI CHARAN SINGH,Jharkhand,Bharatiya Janata Party,KRISHNA NAND TRIPATHI,Indian National Congress,220959,Result Declared
CHENNAI CENTRAL,4,DAYANIDHI MARAN,Tamil Nadu,Dravida Munnetra Kazhagam,VINOJ,Bharatiya Janata Party,244689,Result Declared
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Tamil Nadu,Dravida Munnetra Kazhagam,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222,Result Declared
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Tamil Nadu,Dravida Munnetra Kazhagam,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945,Result Declared
Chevella,10,KONDA VISHWESHWAR REDDY,Telangana,Bharatiya Janata Party,DR GADDAM RANJITH REDDY,Indian National Congress,172897,Result Declared
CHHINDWARA,16,BUNTY VIVEK SAHU,Madhya Pradesh,Bharatiya Janata Party,NAKUL KAMALNATH,Indian National Congress,113618,Result Declared
Chhota Udaipur,21,JASHUBHAI BHILUBHAI RATHVA,Gujarat,Bharatiya Janata Party,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,398777,Result Declared
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Tamil Nadu,Viduthalai Chiruthaigal Katch,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,103554,Result Declared
Chikkballapur,27,DR.K.SUDHAKAR,Karnataka,Bharatiya Janata Party,M.S. RAKSHA RAMAIAH,Indian National Congress,163460,Result Declared
Chikkodi,1,PRIYANKA SATISH JARKIHOLI,Karnataka,Indian National Congress,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,90834,Result Declared
Chitradurga,18,GOVIND MAKTHAPPA KARJOL,Karnataka,Bharatiya Janata Party,B.N.CHANDRAPPA,Indian National Congress,48121,Result Declared
Chittoor(SC),25,DAGGUMALLA PRASADA RAO,Andhra Pradesh,Telugu Desam,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,220479,Result Declared
CHITTORGARH,21,CHANDRA PRAKASH JOSHI,Rajasthan,Bharatiya Janata Party,ANJANA UDAILAL,Indian National Congress,389877,Result Declared
CHURU,3,RAHUL KASWAN,Rajasthan,Indian National Congress,DEVENDRA JHAJHARIA,Bharatiya Janata Party,72737,Result Declared
COIMBATORE,20,GANAPATHY RAJKUMAR P,Tamil Nadu,Dravida Munnetra Kazhagam,ANNAMALAI K,Bharatiya Janata Party,118068,Result Declared
Coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,West Bengal,All India Trinamool Congress,NISITH PRAMANIK,Bharatiya Janata Party,39250,Result Declared
CUDDALORE,26,M.K. VISHNUPRASAD,Tamil Nadu,Indian National Congress,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896,Result Declared
Cuttack,14,BHARTRUHARI MAHTAB,Odisha,Bharatiya Janata Party,SANTRUPT MISRA,Biju Janata Dal,57077,Result Declared
Dadar & Nagar Haveli,2,DELKAR KALABEN MOHANBHAI,Dadar & Nagar Haveli and Daman & Diu,Bharatiya Janata Party,AJIT RAMJIBHAI MAHALA,Indian National Congress,57584,Result Declared
Dahod,19,JASWANTSINH SUMANBHAI BHABHOR,Gujarat,Bharatiya Janata Party,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,333677,Result Declared
Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,Karnataka,Bharatiya Janata Party,PADMARAJ.R.POOJARY,Indian National Congress,149208,Result Declared
Daman & Diu,1,PATEL UMESHBHAI BABUBHAI,Dadar & Nagar Haveli and Daman & Diu,Independent,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,6225,Result Declared
DAMOH,7,RAHUL SINGH LODHI,Madhya Pradesh,Bharatiya Janata Party,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,406426,Result Declared
Darbhanga,14,GOPAL JEE THAKUR,Bihar,Bharatiya Janata Party,LALIT KUMAR YADAV,Rashtriya Janata Dal,178156,Result Declared
Darjeeling,4,RAJU BISTA,West Bengal,Bharatiya Janata Party,GOPAL LAMA,All India Trinamool Congress,178525,Result Declared
Darrang-Udalguri,4,DILIP SAIKIA,Assam,Bharatiya Janata Party,MADHAB RAJBANGSHI,Indian National Congress,329012,Result Declared
DAUSA,11,MURARI LAL MEENA,Rajasthan,Indian National Congress,KANHAIYA LAL MEENA,Bharatiya Janata Party,237340,Result Declared
Davanagere,13,DR. PRABHA MALLIKARJUN,Karnataka,Indian National Congress,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,26094,Result Declared
Deoria,66,SHASHANK MANI,Uttar Pradesh,Bharatiya Janata Party,AKHILESH PRATAP SINGH,Indian National Congress,34842,Result Declared
DEWAS,21,MAHENDRA SINGH SOLANKY,Madhya Pradesh,Bharatiya Janata Party,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,425225,Result Declared
Dhanbad,7,DULU MAHATO,Jharkhand,Bharatiya Janata Party,ANUPAMA SINGH,Indian National Congress,331583,Result Declared
DHAR,25,SAVITRI THAKUR,Madhya Pradesh,Bharatiya Janata Party,RADHESHYAM MUVEL,Indian National Congress,218665,Result Declared
DHARMAPURI,10,MANI. A.,Tamil Nadu,Dravida Munnetra Kazhagam,SOWMIYA ANBUMANI,Pattali Makkal Katch,21300,Result Declared
Dharwad,11,PRALHAD JOSHI,Karnataka,Bharatiya Janata Party,VINOD ASOOTI,Indian National Congress,97324,Result Declared
Dhaurahra,29,ANAND BHADAURIYA,Uttar Pradesh,Samajwadi Party,REKHA VERMA,Bharatiya Janata Party,4449,Result Declared
Dhenkanal,9,RUDRA NARAYAN PANY,Odisha,Bharatiya Janata Party,ABINASH SAMAL,Biju Janata Dal,76567,Result Declared
Dhubri,2,RAKIBUL HUSSAIN,Assam,Indian National Congress,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,1012476,Result Declared
Dhule,2,BACHHAV SHOBHA DINESH,Maharashtra,Indian National Congress,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,3831,Result Declared
Diamond harbour,21,ABHISHEK BANERJEE,West Bengal,All India Trinamool Congress,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,710930,Result Declared
Dibrugarh,13,SARBANANDA SONOWAL,Assam,Bharatiya Janata Party,LURINJYOTI GOGOI,Assam Jatiya Parishad,279321,Result Declared
DINDIGUL,22,SACHITHANANTHAM R,Tamil Nadu,Communist Party of India (Marxist),MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,443821,Result Declared
Dindori,20,BHASKAR MURLIDHAR BHAGARE,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,113199,Result Declared
Diphu,6,AMARSING TISSO,Assam,Bharatiya Janata Party,J. I. KATHAR,Independent,147603,Result Declared
Domariyaganj,60,JAGDAMBIKA PAL,Uttar Pradesh,Bharatiya Janata Party,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,42728,Result Declared
Dum dum,16,SOUGATA RAY,West Bengal,All India Trinamool Congress,SILBHADRA DATTA,Bharatiya Janata Party,70660,Result Declared
Dumka,2,NALIN SOREN,Jharkhand,Jharkhand Mukti Morcha,SITA MURMU,Bharatiya Janata Party,22527,Result Declared
DURG,7,VIJAY BAGHEL,Chhattisgarh,Bharatiya Janata Party,RAJENDRA SAHU,Indian National Congress,438226,Result Declared
East Delhi,3,HARSH MALHOTRA,Delhi,Bharatiya Janata Party,KULDEEP KUMAR (MONU),Aam Aadmi Party,93663,Result Declared
Eluru,10,PUTTA MAHESH KUMAR,Andhra Pradesh,Telugu Desam,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,181857,Result Declared
Ernakulam,12,HIBI EDEN,Kerala,Indian National Congress,K. J. SHINE TEACHER,Communist Party of India (Marxist),250385,Result Declared
ERODE,17,K E PRAKASH,Tamil Nadu,Dravida Munnetra Kazhagam,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566,Result Declared
Etah,22,DEVESH SHAKYA,Uttar Pradesh,Samajwadi Party,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,28052,Result Declared
Etawah,41,JITENDRA KUMAR DOHARE,Uttar Pradesh,Samajwadi Party,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,58419,Result Declared
Faizabad,54,AWADHESH PRASAD,Uttar Pradesh,Samajwadi Party,LALLU SINGH,Bharatiya Janata Party,54567,Result Declared
FARIDABAD,10,KRISHAN PAL,Haryana,Bharatiya Janata Party,MAHENDER PRATAP SINGH,Indian National Congress,172914,Result Declared
Faridkot,9,SARABJEET SINGH KHALSA,Punjab,Independent,KARAMJIT SINGH ANMOL,Aam Aadmi Party,70053,Result Declared
Farrukhabad,40,MUKESH RAJPUT,Uttar Pradesh,Bharatiya Janata Party,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,2678,Result Declared
Fatehgarh Sahib,8,AMAR SINGH,Punjab,Indian National Congress,GURPREET SINGH GP,Aam Aadmi Party,34202,Result Declared
Fatehpur,49,NARESH CHANDRA UTTAM PATEL,Uttar Pradesh,Samajwadi Party,NIRANJAN JYOTI,Bharatiya Janata Party,33199,Result Declared
Fatehpur Sikri,19,RAJKUMAR CHAHAR,Uttar Pradesh,Bharatiya Janata Party,RAMNATH SINGH SIKARWAR,Indian National Congress,43405,Result Declared
Firozabad,20,AKSHAYA YADAV,Uttar Pradesh,Samajwadi Party,VISHWADEEP SINGH,Bharatiya Janata Party,89312,Result Declared
Firozpur,10,SHER SINGH GHUBAYA,Punjab,Indian National Congress,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,3242,Result Declared
Gadchiroli - Chimur,12,DR. KIRSAN NAMDEO,Maharashtra,Indian National Congress,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,141696,Result Declared
Gandhinagar,6,AMIT SHAH,Gujarat,Bharatiya Janata Party,SONAL RAMANBHAI PATEL,Indian National Congress,744716,Result Declared
GANGANAGAR,1,KULDEEP INDORA,Rajasthan,Indian National Congress,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,88153,Result Declared
Garhwal,2,ANIL BALUNI,Uttarakhand,Bharatiya Janata Party,GANESH GODIYAL,Indian National Congress,163503,Result Declared
Gautam Buddha Nagar,13,DR. MAHESH SHARMA,Uttar Pradesh,Bharatiya Janata Party,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,559472,Result Declared
Gaya,38,JITAN RAM MANJHI,Bihar,Hindustani Awam Morcha (Secular),KUMAR SARVJEET,Rashtriya Janata Dal,101812,Result Declared
Ghatal,32,ADHIKARI DEEPAK (DEV),West Bengal,All India Trinamool Congress,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,182868,Result Declared
Ghaziabad,12,ATUL GARG,Uttar Pradesh,Bharatiya Janata Party,DOLLY SHARMA,Indian National Congress,336965,Result Declared
Ghazipur,75,AFZAL ANSARI,Uttar Pradesh,Samajwadi Party,PARS NATH RAI,Bharatiya Janata Party,124861,Result Declared
Ghosi,70,RAJEEV RAI,Uttar Pradesh,Samajwadi Party,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,162943,Result Declared
Giridih,6,CHANDRA PRAKASH CHOUDHARY,Jharkhand,AJSU Party,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,80880,Result Declared
Godda,3,NISHIKANT DUBEY,Jharkhand,Bharatiya Janata Party,PRADEEP YADAV,Indian National Congress,101813,Result Declared
Gonda,59,KIRTIVARDHAN SINGH,Uttar Pradesh,Bharatiya Janata Party,SHREYA VERMA,Samajwadi Party,46224,Result Declared
Gopalganj,17,DR. ALOK KUMAR SUMAN,Bihar,Janata Dal (United),PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,127180,Result Declared
Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Uttar Pradesh,Bharatiya Janata Party,KAJAL NISHAD,Samajwadi Party,103526,Result Declared
Gulbarga,5,RADHAKRISHNA,Karnataka,Indian National Congress,DR. UMESH G JADHAV,Bharatiya Janata Party,27205,Result Declared
GUNA,4,JYOTIRADITYA M. SCINDIA,Madhya Pradesh,Bharatiya Janata Party,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,540929,Result Declared
Guntur,13,DR CHANDRA SEKHAR PEMMASANI,Andhra Pradesh,Telugu Desam,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,344695,Result Declared
